date,no tickets sol,sell_amt,purchase_amt,Ratio,no tickets sol * Ratio,norm_ratio,norm_ratio_cum_sum,norm_ratio*1000,no tickets sol_cumsum,actual_cumsum_ratio,DTE
2022-03-15,3,92.12,92.12,1.0,3.0,0.011404546631121112,0.011404546631121112,11.404546631121113,3,0.011406844106463879,-80 days
2022-03-16,1,92.12,92.12,1.0,1.0,0.0038015155437070374,0.01520606217482815,3.8015155437070374,4,0.015209125475285171,-79 days
2022-03-19,1,92.12,92.12,1.0,1.0,0.0038015155437070374,0.019007577718535187,3.8015155437070374,5,0.019011406844106463,-76 days
2022-03-20,1,92.12,92.12,1.0,1.0,0.0038015155437070374,0.022809093262242223,3.8015155437070374,6,0.022813688212927757,-75 days
2022-03-29,2,93.09,93.09,1.0,2.0,0.007603031087414075,0.0304121243496563,7.603031087414075,8,0.030418250950570342,-66 days
2022-04-05,1,94.05,94.05,1.0,1.0,0.0038015155437070374,0.03421363989336334,3.8015155437070374,9,0.034220532319391636,-59 days
2022-04-16,2,78.54,78.54,1.0,2.0,0.007603031087414075,0.04181667098077741,7.603031087414075,11,0.04182509505703422,-48 days
2022-04-17,2,78.54,78.54,1.0,2.0,0.007603031087414075,0.04941970206819148,7.603031087414075,13,0.049429657794676805,-47 days
2022-04-22,1,66.85,66.85,1.0,1.0,0.0038015155437070374,0.05322121761189852,3.8015155437070374,14,0.053231939163498096,-42 days
2022-04-23,7,72.49285714285715,72.45285714285714,1.0005520831279453,7.003864581895617,0.02662530007409538,0.0798465176859939,26.62530007409538,21,0.07984790874524715,-41 days
2022-04-24,8,80.48,80.515,0.9995652983916041,7.996522387132833,0.030398904150286767,0.11024542183628067,30.398904150286768,29,0.11026615969581749,-40 days
2022-04-25,12,74.14083333333333,74.14083333333333,1.0,12.0,0.04561818652448445,0.15586360836076513,45.61818652448445,41,0.155893536121673,-39 days
2022-04-26,3,79.01,79.01,1.0,3.0,0.011404546631121112,0.16726815499188624,11.404546631121113,44,0.16730038022813687,-38 days
2022-04-30,7,72.92857142857142,72.92857142857142,1.0,7.0,0.026610608805949263,0.1938787637978355,26.610608805949262,51,0.19391634980988592,-34 days
2022-05-02,2,77.57,77.57,1.0,2.0,0.007603031087414075,0.2014817948852496,7.603031087414075,53,0.20152091254752852,-32 days
2022-05-03,2,71.54,71.54,1.0,2.0,0.007603031087414075,0.20908482597266367,7.603031087414075,55,0.20912547528517111,-31 days
2022-05-04,3,83.76,76.52333333333333,1.0945681055887095,3.2837043167661286,0.012483053001124336,0.22156787897378802,12.483053001124336,58,0.22053231939163498,-30 days
2022-05-05,5,78.9,78.9,1.0,5.0,0.019007577718535187,0.24057545669232322,19.007577718535188,63,0.23954372623574144,-29 days
2022-05-07,1,83.57,83.57,1.0,1.0,0.0038015155437070374,0.24437697223603025,3.8015155437070374,64,0.24334600760456274,-27 days
2022-05-10,7,78.06857142857143,78.06857142857143,1.0,7.0,0.026610608805949263,0.2709875810419795,26.610608805949262,71,0.26996197718631176,-24 days
2022-05-11,1,77.93,77.93,1.0,1.0,0.0038015155437070374,0.27478909658568657,3.8015155437070374,72,0.2737642585551331,-23 days
2022-05-13,1,69.56,69.56,1.0,1.0,0.0038015155437070374,0.2785906121293936,3.8015155437070374,73,0.27756653992395436,-21 days
2022-05-15,1,66.23,66.23,1.0,1.0,0.0038015155437070374,0.2823921276731007,3.8015155437070374,74,0.2813688212927757,-19 days
2022-05-16,4,66.3075,66.3075,1.0,4.0,0.01520606217482815,0.29759818984792885,15.20606217482815,78,0.2965779467680608,-18 days
2022-05-18,3,61.669999999999995,61.669999999999995,1.0,3.0,0.011404546631121112,0.30900273647904997,11.404546631121113,81,0.30798479087452474,-16 days
2022-05-20,2,62.49,66.38,0.9413980114492317,1.8827960228984635,0.0071574783466783,0.31616021482572826,7.1574783466783,83,0.3155893536121673,-14 days
2022-05-21,8,61.7425,65.51875,0.942363827148717,7.538910617189736,0.028659285893864798,0.34481950071959305,28.659285893864798,91,0.34600760456273766,-13 days
2022-05-22,10,62.05,66.285,0.936109225314928,9.36109225314928,0.03558633770642252,0.38040583842601555,35.58633770642252,101,0.3840304182509506,-12 days
2022-05-25,2,61.79,61.79,1.0,2.0,0.007603031087414075,0.3880088695134296,7.603031087414075,103,0.3916349809885932,-9 days
2022-05-26,23,49.81434782608696,49.81434782608696,1.0,23.0,0.08743485750526186,0.4754437270186915,87.43485750526186,126,0.4790874524714829,-8 days
2022-05-27,33,47.05787878787879,47.05787878787879,1.0,33.0,0.12545001294233224,0.6008937399610237,125.45001294233224,159,0.6045627376425855,-7 days
2022-05-28,1,47.53,47.53,1.0,1.0,0.0038015155437070374,0.6046952555047307,3.8015155437070374,160,0.6083650190114068,-6 days
2022-05-29,1,57.61,57.61,1.0,1.0,0.0038015155437070374,0.6084967710484377,3.8015155437070374,161,0.6121673003802282,-5 days
2022-05-31,44,42.21840909090909,42.21840909090909,1.0,44.0,0.16726668392310964,0.7757634549715473,167.26668392310964,205,0.779467680608365,-3 days
2022-06-01,31,57.119677419354836,56.03354838709677,1.019383549025929,31.600890019803803,0.12013127460526074,0.895894729576808,120.13127460526074,236,0.8973384030418251,-2 days
2022-06-02,25,65.79560000000001,64.7972,1.0154080731883477,25.38520182970869,0.09650223933577791,0.992396968912586,96.50223933577792,261,0.9923954372623575,-1 days
2022-06-03,2,64.41,64.41,1.0,2.0,0.007603031087414075,1.0,7.603031087414075,263,1.0,0 days
